,coord,frequentadores
0,"[281337, 7346363]","[4750026104, 4750026105, 4750026106, 4750026106, 4750026103, 4750026102, 4750026101, 4750026101, 4750026105]"
1,"[281632, 7346102]","[4750011106, 4750011105, 4750011104, 4750011104, 4750011103, 4750011101, 4750011101, 4750011102, 4750011105, 4750011103]"
2,"[281725, 7346553]","[4750032102, 4750032102, 4750032101, 4750032101]"
3,"[281747, 7345652]","[4750025101, 4750025102]"
4,"[281810, 7345593]","[4750006106, 4750006103, 4750006104, 4750006105, 4750006102, 4750006101, 4750006107]"
5,"[281862, 7346175]","[4750005102, 4750005101, 4750005102, 4750005103, 4750005101, 4750005104, 4750005103]"
6,"[281906, 7345744]","[4750056101, 4750056101, 4750056102, 4750056102, 4750056103, 4750056103, 4750056101, 4750056101]"
7,"[281947, 7346180]","[4750024101, 4750024102, 4750024102, 4750024102, 4750024102]"
8,"[282120, 7348128]","[4750015103, 4750015101, 4750015101, 4750015101, 4750015102]"
9,"[283223, 7347610]","[4750008103, 4750008101, 4750008101, 4750008102]"
10,"[284014, 7348073]","[4750038104, 4750038105, 4750038105, 4750038104, 4750038103, 4750038103, 4750038102, 4750038104, 4750038101]"
11,"[284732, 7349080]","[4750010102, 4750010105, 4750010104, 4750010104, 4750010103, 4750010102, 4750010101]"
12,"[284818, 7352459]","[4750017102, 4750017103, 4750017103, 4750017104, 4750017104, 4750017101, 4750017105, 4750017101, 4750017101, 4750017102, 4750017105, 4750017101]"
13,"[285926, 7350552]","[4750028102, 4750028101]"
14,"[286779, 7350806]","[4750016101, 4750016101, 4750016101, 4750016101, 4750016102, 4750016102, 4750016103, 4750016103, 4750016104, 4750016104]"
15,"[286786, 7350809]","[4750044105, 4750044104, 4750044101, 4750044101, 4750044102, 4750044103, 4750044104, 4750044105]"
16,"[286790, 7348783]","[4750041101, 4750041101, 4750022101, 4750041101, 4750041102, 4750041102, 4750022102, 4750022102, 4750041101, 4750022102, 4750022102]"
17,"[287045, 7353117]","[4750014106, 4750014108, 4750014108, 4750014107, 4750014106, 4750014101, 4750014102, 4750014102, 4750014103, 4750014105, 4750014101, 4750014103, 4750014104, 4750014105]"
18,"[287069, 7353162]","[4750055101, 4750055101, 4750055101, 4750055101, 4750055101, 4750055101, 4750055101, 4750055101, 4750055102, 4750055103, 4750055103, 4750055103, 4750055103, 4750055104, 4750055105, 4750055102]"
19,"[287922, 7380869]","[5110011102, 5110011101, 5110011102, 5110011101]"
20,"[287959, 7348466]","[4750019101, 4750019101, 4750019102, 4750019103, 4750043102, 4750019102, 4750043101]"
21,"[288059, 7381049]","[5110004101, 5110004101]"
22,"[288062, 7380894]","[5110020101, 5110020101, 5110020102]"
23,"[288165, 7351039]","[4750007103, 4750007102, 4750007102, 4750007103, 4750007104, 4750007104, 4750007101]"
24,"[288203, 7381002]","[5110309101, 5110309101, 5110309102, 5110309102]"
25,"[288225, 7381150]","[5110017101, 5110017102, 5110017102, 5110017101]"
26,"[288269, 7381218]",[5110308101]
27,"[288322, 7352572]","[4750013101, 4750013104, 4750013103, 4750013104, 4750013103, 4750013102]"
28,"[288352, 7381380]","[5110021103, 5110021101, 5110021103, 5110021102, 5110021102, 5110021103]"
29,"[288418, 7381408]","[5110322101, 5110316102, 5110316101]"
30,"[288441, 7381539]","[5110009103, 5110009102, 5110009102, 5110009101]"
31,"[288473, 7381101]","[5110014101, 5110014101]"
32,"[288632, 7352518]","[4750034101, 4750034101]"
33,"[288639, 7352846]","[4750036103, 4750036102, 4750036101, 4750036101, 4750036103, 4750036101, 4750036101]"
34,"[288650, 7352309]","[4750060102, 4750060101, 4750060103, 4750060101, 4750060102, 4750060103]"
35,"[288827, 7352751]","[4750304101, 4750304102, 4750304102]"
36,"[288843, 7352575]","[4750009101, 4750009101]"
37,"[288982, 7381437]",[5110908101]
38,"[289089, 7352417]","[4750052103, 4750052105, 4750052104, 4750052103, 4750052101, 4750052106, 4750052102, 4750052104]"
39,"[289322, 7351141]","[4750029104, 4750029104, 4750029103, 4750029105, 4750029102, 4750029101, 4750029103, 4750029101]"
40,"[289372, 7351732]","[4750045101, 4750045101, 4750045102, 4750045102]"
41,"[289380, 7352213]","[4751736101, 4751736102, 4751736103, 4751736103]"
42,"[289404, 7350944]","[4750002104, 4750002105, 4750002104, 4750002103, 4750002102, 4750002101, 4750002103]"
43,"[289588, 7351929]","[4750053101, 4750053101, 4750053101, 4750053102, 4750053103, 4750053102, 4750053102, 4750053102, 4750053101]"
44,"[289686, 7348837]","[4750338101, 4750338103, 4750338102, 4750338102, 4750338101]"
45,"[289816, 7350932]","[4750031102, 4750031101, 4750031101]"
46,"[290454, 7352138]","[4750001101, 4750001102, 4750001102, 4750001102, 4750001103, 4750001103, 4750001104, 4750001104, 4750001105, 4750001105, 4750001101, 4750001102]"
47,"[290634, 7384342]","[5110022101, 5110022102, 5110022101, 5110022103]"
48,"[290644, 7350569]","[4750054102, 4750054103, 4750054104, 4750054101, 4750054101, 4750054105]"
49,"[290798, 7352196]","[4750023101, 4750023102, 4750023101, 4750023101, 4750023101, 4750023103, 4750023104]"
50,"[291086, 7382006]","[5110035103, 5110035102, 5110035106, 5110035104, 5110035102, 5110035104, 5110035105, 5110035105, 5110035101, 5110035103, 5110035106, 5110035103, 5110035107, 5110035103]"
51,"[291541, 7350771]","[4750027105, 4750027101, 4750027101, 4750027101, 4750027101, 4750027102, 4750027104, 4750027103, 4750027102, 4750027104]"
52,"[291557, 7376361]","[5110025103, 5110025102, 5110025101, 5110025101]"
53,"[291579, 7349961]","[4750370101, 4750370101, 4750370103, 4750370103, 4750370102]"
54,"[291586, 7386884]","[5120009101, 5120009102, 5120009102, 5120009102, 5120009102]"
55,"[291597, 7348744]","[4750033104, 4750033103, 4750033101, 4750033103, 4750033104, 4750033102]"
56,"[291647, 7354438]","[4750318101, 4750318102, 4750318103, 4750318103]"
57,"[291661, 7378183]","[5110048101, 5110048101]"
58,"[291764, 7380999]","[5110030101, 5110030101]"
59,"[292037, 7377752]","[5110045103, 5110045102, 5110045102, 5110045101, 5110045101]"
60,"[292166, 7381370]","[5110010101, 5110010101, 5110010102, 5110010102, 5110010104, 5110010104, 5110013101, 5110013101, 5110013102, 5110013103, 5110013104, 5110013104, 5110010103, 5110013103]"
61,"[292473, 7354141]","[4750020101, 4750020102, 4750020101]"
62,"[292481, 7383749]","[5110909103, 5110909104, 5110909104, 5110909103, 5110909102, 5110909106, 5110909102, 5110909101, 5110909105, 5110909101, 5110909101, 5110909105, 5110909101, 5110909106]"
63,"[292506, 7389086]","[5120595104, 5120595104, 5120595103, 5120595103, 5120595102, 5120595101, 5120595101]"
64,"[292842, 7378912]",[5110023101]
65,"[292858, 7379718]","[5110001101, 5110001101, 5110001102, 5110356102, 5110356101, 5110356102, 5110356101, 5110001101, 5110001102]"
66,"[292894, 7386631]","[5120039109, 5120039108, 5120039110, 5120039107, 5120039103, 5120039106, 5120039106, 5120039105, 5120039105, 5120039104, 5120039104, 5120039102, 5120039102, 5120039101, 5120039101, 5120039107, 5120039101, 5120039101]"
67,"[292896, 7387795]","[5121171105, 5121171103, 5121171103, 5121171104, 5121171104, 5121171103, 5121171103, 5121171105, 5121171102, 5121171101, 5121171102, 5121171102, 5121171101, 5121171106, 5121171102, 5121171106]"
68,"[292904, 7382347]","[5110043101, 5110043101, 5110043102, 5110043102, 5110043102, 5110043102, 5110043103, 5110043104, 5110043104, 5110043105]"
69,"[292955, 7387574]","[5121148103, 5121148104, 5121148103, 5121148102, 5121148102, 5121148101]"
70,"[292979, 7380526]","[5110007104, 5110007103, 5110007102, 5110007104, 5110007102, 5110007101, 5110007101]"
71,"[292986, 7389515]","[5120722101, 5120722101, 5120722102, 5120722102]"
72,"[293015, 7379850]","[5110038101, 5110038102, 5110038103, 5110038103]"
73,"[293339, 7379457]","[5110027103, 5110027102, 5110027101, 5110027101]"
74,"[293413, 7381563]","[5110050102, 5110050102, 5110050106, 5110050101, 5110050101, 5110050103, 5110050106, 5110050103, 5110050104, 5110050105, 5110050105, 5110050104]"
75,"[293465, 7380375]","[5110002101, 5110002103, 5110002103, 5110002103, 5110002101, 5110002103, 5110002102]"
76,"[293621, 7388499]","[5121146102, 5121146101, 5121146101, 5121146103, 5121146104, 5121146104]"
77,"[293657, 7380451]","[5110337103, 5110337102, 5110337101, 5110337103, 5110337101, 5110337104, 5110337104]"
78,"[293681, 7389033]","[5120673104, 5120673103, 5120673102, 5120673103, 5120673101, 5120673101]"
79,"[293686, 7381740]","[5111332103, 5111332102, 5111332102, 5111332101, 5111332102, 5111332105, 5111332102, 5111332104, 5111332104, 5111332105]"
80,"[293698, 7379078]","[5110029101, 5110029101, 5110029102, 5110029102]"
81,"[293729, 7378582]","[5110926103, 5110926103, 5110926104, 5110926102, 5110926104, 5110926104, 5110926104, 5110926102, 5110926101, 5110926101, 5110926101, 5110926101]"
82,"[293790, 7373419]","[5110918101, 5110918101]"
83,"[293818, 7381064]","[5110031102, 5110031101, 5110031104, 5110031101, 5110031103]"
84,"[293889, 7351342]","[4750018101, 4750037104, 4750018102, 4750037103, 4750037102, 4750018102, 4750018101, 4750037104, 4750037105, 4750018103, 4750037102, 4750037101, 4750037102, 4750037102, 4750037102, 4750018103, 4750037105, 4750037102, 4750018104, 4750018104, 4750018103, 4750018103]"
85,"[293890, 7379881]","[5110351101, 5110351101, 5110351102, 5110351102, 5110351103, 5110351103, 5110351103, 5110351103]"
86,"[293922, 7379643]","[5110892101, 5110012102, 5110012101, 5110327101, 5110327101]"
87,"[293962, 7387783]","[5121228104, 5121228104, 5121228101, 5121228103, 5121228102, 5121228102, 5121228102, 5121228101, 5121228103]"
88,"[294018, 7379159]","[5110040102, 5110040102, 5110040101, 5110040101]"
89,"[294123, 7379530]","[5110915105, 5110915104, 5110915102, 5110915103, 5110915102, 5110915101, 5110915101]"
90,"[294154, 7375652]","[5110976101, 5110976102, 5110976102]"
91,"[294155, 7389505]","[5120532101, 5120532103, 5120532101, 5120532102, 5120532102, 5120532103]"
92,"[294160, 7386258]","[5120568102, 5120568102, 5120568104, 5120568103, 5120568103, 5120568104, 5120568102, 5120568102, 5120568101, 5120568101]"
93,"[294200, 7377637]","[5110920101, 5110920103, 5110920103, 5110920101, 5110920102]"
94,"[294212, 7389621]","[5120004101, 5120004103, 5120004101, 5120004103, 5120004102, 5120004102, 5120004101, 5120004101]"
95,"[294274, 7387649]","[5120536101, 5120536101]"
96,"[294301, 7389548]","[5120309101, 5120309101, 5120309102, 5120309102]"
97,"[294306, 7371985]","[5110921104, 5110921101, 5110921103, 5110921102, 5110921102, 5110921101, 5110921101, 5110921101, 5110921103, 5110921101, 5110921104, 5110921101]"
98,"[294311, 7381551]","[5111328104, 5111328104, 5111328103, 5111328103, 5111328102, 5111328101, 5111328101, 5111328102]"
99,"[294389, 7353726]","[4750058109, 4750058101, 4750058107, 4750058105, 4750058109, 4750058107, 4750058102, 4750058102, 4750058103, 4750058104, 4750058108, 4750058108, 4750058104, 4750058105, 4750058106, 4750058103, 4750058106]"
100,"[294394, 7378221]","[5110911103, 5110911101, 5110911103, 5110911104, 5110911104, 5110911105, 5110911102, 5110911101, 5110911101, 5110911101, 5110911105, 5110911101, 5110911102, 5110911101]"
101,"[294512, 7410734]","[5171173101, 5171173101]"
102,"[294552, 7390527]","[5120629102, 5120629103, 5120629103, 5120629102, 5120629102, 5120629102, 5120629101, 5120629101, 5120629101, 5120629101]"
103,"[294581, 7410529]","[5170008101, 5170008101, 5170008102, 5170008103, 5170008104, 5170008105, 5170008105, 5170008104]"
104,"[294618, 7410518]","[5171418104, 5171418101, 5171418103, 5171418103, 5171418104, 5171418102, 5171418102, 5171418102, 5171418101, 5171418102, 5171418102]"
105,"[294641, 7410347]","[5170021101, 5170021101]"
106,"[294656, 7411501]","[5171203101, 5171203101, 5171203102, 5171203103, 5171203103, 5171203102]"
107,"[294675, 7389388]","[5120311104, 5120311103, 5120311104, 5120311103, 5120311101, 5120311101, 5120311102, 5120311102]"
108,"[294681, 7385831]","[5120041102, 5120041103, 5120041104, 5120041104, 5120041105, 5120041103, 5120041101, 5120041101, 5120041101, 5120041101, 5120041101, 5120041101, 5120041103, 5120041102]"
109,"[294687, 7411840]","[5170044103, 5170044104, 5170044102, 5170044102, 5170044103, 5170044101]"
110,"[294702, 7387153]","[5120633101, 5120633101, 5120633103, 5120633101, 5120633102, 5120633102, 5120633103, 5120633101]"
111,"[294715, 7410503]","[5170028102, 5170028102, 5170028103, 5170028103, 5170028104, 5170028101, 5170028101]"
112,"[294745, 7410566]","[5170030101, 5170030102, 5170030102]"
113,"[294806, 7410699]","[5171174101, 5171174102, 5171174102, 5171174103, 5171174104]"
114,"[294849, 7411592]","[5170333103, 5170333103, 5170333102, 5170333102, 5170333101, 5170333101]"
115,"[294878, 7411263]","[5170034103, 5170034102, 5170034101]"
116,"[294963, 7410482]","[5170015102, 5170015101, 5170015101, 5170015103, 5170015103]"
117,"[294991, 7390690]","[5120321102, 5120321101, 5120321104, 5120321103, 5120321102]"
118,"[294997, 7410573]","[5170304103, 5170304103, 5170304102, 5170304101]"
119,"[295000, 7410901]","[5170315101, 5170315102, 5170315103, 5170315103, 5170315104, 5170315104]"
120,"[295036, 7411253]","[5170043101, 5170043101, 5170043103, 5170043103, 5170043102]"
121,"[295048, 7410850]","[5170309102, 5170309103, 5170309104, 5170309104, 5170309101, 5170309101]"
122,"[295064, 7387103]","[5120026104, 5120026104, 5120026104, 5120026104, 5120026101, 5120026101, 5120026104, 5120026101, 5120026103, 5120026103, 5120026102, 5120026101, 5120026101]"
123,"[295073, 7411303]","[5170433107, 5170433106, 5170433105, 5170433105, 5170433104, 5170433104, 5170433106, 5170419102, 5170433101, 5170433102, 5170433102, 5170419101, 5170433103, 5170433103, 5170433107, 5170419103, 5170419104, 5170419104]"
124,"[295079, 7395436]","[5150018102, 5150018101, 5150018101, 5150018102]"
125,"[295120, 7390070]","[5120005107, 5120005107, 5120005106, 5120005105, 5120005104, 5120005103, 5120005103, 5120005101, 5120005102, 5120005102]"
