,coord,frequentadores
0,"[-2960000, 15550000]","[3121617102, 3121617102]"
1,"[-159684, 7539752]","[390035102, 390035101, 390035102, 390035101]"
2,"[-56149, 7484286]",[4610002103]
3,"[107817, 6844517]","[282607101, 282607101, 282607101, 282607101]"
4,"[111433, 7523421]","[4683584102, 4683584102, 4683584102]"
5,"[146967, 7465070]","[3700039103, 330308103]"
6,"[195311, 7356503]",[3980026102]
7,"[201847, 7562423]","[90043102, 3400439103, 1030804102, 90043102]"
8,"[208597, 7656076]","[1522230101, 1522230101]"
9,"[228527, 7484820]","[640825104, 640825104, 640825104, 640825104, 640825104, 640825104, 640825104, 640825104]"
10,"[249299, 7398841]","[5121148104, 5071123102]"
11,"[249901, 7566157]",[2871552102]
12,"[280581, 7349643]","[4751710104, 4751710104]"
13,"[281841, 7345660]","[4750011103, 4750011104, 4750011104, 4750011105, 4750011105, 4750011103]"
14,"[282063, 7396798]","[5150041103, 5150041104, 5150304103, 5120005104, 5150041102, 5150041102, 5150041102, 5120005105, 5120005106, 5150041102, 930055104]"
15,"[283157, 7348560]","[4710967104, 4710967104, 4750038105, 4750038105]"
16,"[288532, 7381821]","[5110021102, 5110011102, 5110011102, 5110021102]"
17,"[288544, 7353211]","[4750014106, 4750010104, 4750010104, 4750013103, 4750014106, 4750013103, 4750013104, 4750013104, 4750014105, 4750014105, 4750014108, 4750014108]"
18,"[288546, 7353126]","[4750055103, 4750055103, 4750055103, 4750055103]"
19,"[289056, 7465674]","[4110367101, 370476102, 370476102, 2911440102, 810509102, 771115104, 850575103, 3270112104, 2750707101, 2750707103, 571041102, 2750707101, 571041102, 2750707102, 2750707103, 2750707102]"
20,"[289126, 7351835]",[4750023103]
21,"[289193, 7352005]","[4750058106, 4750058106, 4750058105, 4750058104, 4750058104, 4750008102, 4750058105]"
22,"[289219, 7351997]","[4750036103, 4750036103, 4750052103, 4750052103, 4750318103, 4750318103, 4750060103, 4750038103, 4750060103, 4750038103, 4751736103, 4750029102, 4750002103, 4750002103, 4751736103]"
23,"[289318, 7352074]","[4710306105, 4710306105, 4710306105]"
24,"[289321, 7351881]","[4750036101, 4750036101, 4750036101, 4750036101]"
25,"[289342, 7351053]","[4750016104, 4750029103, 4750029103, 4710967108, 4710967108, 4750016103, 4750016103, 4750016104]"
26,"[289394, 7351219]","[4750027104, 4750027104]"
27,"[289426, 7351847]","[4750037105, 4750037105]"
28,"[289601, 7351917]","[4750053103, 4750029104, 4750029104]"
29,"[289623, 7351968]","[4750058109, 4750058109]"
30,"[289754, 7351364]","[4750060102, 4750060102]"
31,"[289804, 7352682]","[4750058107, 4750058108, 4750058108, 4750058107]"
32,"[289856, 7406623]","[5171307103, 5171409103]"
33,"[290002, 7382375]","[5110035106, 5110035106]"
34,"[290276, 7350913]","[4750046103, 4750046103]"
35,"[291556, 7387070]","[5110309102, 5110309102]"
36,"[291889, 7380906]","[5070013104, 5070013104]"
37,"[291937, 7380508]","[5110035105, 5110035105]"
