,coord,frequentadores
0,"[280581, 7349643]",[4751710104]
1,"[281337, 7346363]","[4750026106, 4750026101, 4750026105]"
2,"[281632, 7346102]","[4750011103, 4750011105, 4750011101, 4750011104]"
3,"[281678, 7345889]","[4750024102, 4750056101, 4750056101, 4750037104, 4750024102]"
4,"[281725, 7346553]","[4750032102, 4750032101]"
5,"[281799, 7345732]","[4750005101, 4750005102]"
6,"[281834, 7345926]","[4750032101, 4750032102]"
7,"[281841, 7345660]","[4750011105, 4750011103, 4750011104]"
8,"[281842, 7345852]",[4750008101]
9,"[281862, 7346175]","[4750005101, 4750005102, 4750005103]"
10,"[281906, 7345744]","[4750056103, 4750056101, 4750056102, 4750056101]"
11,"[281947, 7346180]","[4750024102, 4750024102]"
12,"[281996, 7346370]",[4750007104]
13,"[282120, 7348128]",[4750015101]
14,"[283157, 7348560]","[4710967104, 4750038105]"
15,"[283223, 7347610]",[4750008101]
16,"[284014, 7348073]","[4750038103, 4750038104, 4750038105]"
17,"[284732, 7349080]","[4750010104, 4750010102]"
18,"[284818, 7352459]","[4750017103, 4750017101, 4750017105, 4750017101, 4750017102, 4750017104]"
19,"[286537, 7350760]",[4750044101]
20,"[286779, 7350806]","[4750016101, 4750016101, 4750016102, 4750016103, 4750016104]"
21,"[286786, 7350809]","[4750044105, 4750044104, 4750044101]"
22,"[286790, 7348783]","[4750041101, 4750022102, 4750022102, 4750041101, 4750041102]"
23,"[287045, 7353117]","[4750014102, 4750014105, 4750014101, 4750014103, 4750014108, 4750014106]"
24,"[287069, 7353162]","[4750055101, 4750055101, 4750055101, 4750055103, 4750055101, 4750055103, 4750055102]"
25,"[287237, 7346947]","[4750041101, 4750041101]"
26,"[287866, 7380963]",[5110011101]
27,"[287922, 7380869]","[5110011102, 5110011101]"
28,"[287959, 7348466]","[4750019101, 4750019102]"
29,"[288059, 7381049]",[5110004101]
30,"[288062, 7380894]",[5110020101]
31,"[288165, 7351039]","[4750007104, 4750007103, 4750007102]"
32,"[288180, 7381051]",[5110020101]
33,"[288198, 7381165]","[5110017102, 5110017101]"
34,"[288203, 7381002]","[5110309102, 5110309101]"
35,"[288205, 7351053]",[4750007103]
36,"[288210, 7381008]",[5110309101]
37,"[288225, 7381150]","[5110017101, 5110017102]"
38,"[288322, 7352572]","[4750013103, 4750013104]"
39,"[288352, 7381380]","[5110021103, 5110021102]"
40,"[288441, 7381539]",[5110009102]
41,"[288473, 7381101]",[5110014101]
42,"[288520, 7352971]","[4750016101, 4750016102]"
43,"[288532, 7381821]","[5110021102, 5110011102, 5110021103]"
44,"[288544, 7353211]","[4750013104, 4750014108, 4750014105, 4750013103, 4750014106, 4750010104]"
45,"[288546, 7353126]","[4750055101, 4750055103, 4750055101, 4750055103]"
46,"[288632, 7352518]",[4750034101]
47,"[288639, 7352846]","[4750036103, 4750036101, 4750036101]"
48,"[288650, 7352309]","[4750060103, 4750060102, 4750060101]"
49,"[288827, 7352751]",[4750304102]
50,"[288843, 7352575]",[4750009101]
51,"[289089, 7352417]","[4750052103, 4750052104]"
52,"[289138, 7351758]","[4750002104, 4750001102, 4750022102, 4750001102, 4750039104, 4750022102, 4750020101]"
53,"[289193, 7352005]","[4750058106, 4750058105, 4750058104]"
54,"[289219, 7351997]","[4750318103, 4751736103, 4750036103, 4750060103, 4750002103, 4750052103]"
55,"[289248, 7351694]",[4751718102]
56,"[289253, 7351648]",[4750034101]
57,"[289254, 7351649]",[4750029101]
58,"[289272, 7351992]",[4750060101]
59,"[289278, 7351907]","[4750370101, 4750370103]"
60,"[289284, 7351024]",[4750304102]
61,"[289284, 7351926]",[4750059104]
62,"[289298, 7351948]",[4750015101]
63,"[289301, 7351790]","[4750045102, 4750045101]"
64,"[289318, 7352074]",[4710306105]
65,"[289321, 7351881]",[4750036101]
66,"[289321, 7352266]",[4750009101]
