,coord,frequentadores
0,"[-532545, 8154364]","[4970764101, 4970764101, 4970764101, 4970764101, 4970764101, 4970764101]"
1,"[-209858, 7392610]","[3980080102, 3980080102]"
2,"[-159684, 7539752]","[1920306101, 1920306101]"
3,"[-126000, 7589000]",[1731673101]
4,"[-100814, 6661857]","[3270079101, 3270079101, 760739101, 760739101, 2690056101]"
5,"[-9724, 7535760]","[1340400102, 1340400102, 1340400102]"
6,"[26089, 7442971]","[5061643101, 5061643101]"
7,"[44481, 7691721]",[300783102]
8,"[70282, 7181254]",[670736101]
9,"[81946, 7527333]",[151292102]
10,"[96711, 7016093]","[1361006103, 1361006103]"
11,"[110105, 9389039]","[940042101, 940042101, 940042101, 940042101, 940042101, 940042101, 940042101]"
12,"[127964, 7723075]","[2690011101, 2690011101, 2690011101, 2690011101]"
13,"[136686, 7018830]","[3980076101, 3980076101]"
14,"[136760, 7629090]","[2490979101, 2490979101]"
15,"[138616, 7680211]",[5011316103]
16,"[150211, 6943010]",[831478103]
17,"[184340, 7260759]",[1230032102]
18,"[186625, 8253811]","[850370102, 850370102, 850370102, 850370102]"
19,"[188501, 7387993]","[791585101, 791585101]"
20,"[197884, 7428726]",[3170087101]
21,"[201847, 7562423]","[4490021101, 681243101]"
22,"[208172, 7414448]",[2881118102]
23,"[226869, 7422564]","[4960036101, 610020101, 4960036101, 610020101, 4960036101, 4960036101, 4960036101, 610020101]"
24,"[228527, 7484820]","[3640006102, 5120044102, 1800045101, 3410532101, 3410532101]"
25,"[229444, 7575497]","[1850016103, 1850016103]"
26,"[232781, 7471875]",[3270056101]
27,"[236767, 7519869]",[2651837101]
28,"[249299, 7398841]","[2431883101, 4971152101, 3210906102, 1091902101, 3210906102, 4080033101, 4080033103, 1811742102, 1091902102, 2431883101, 1230762103, 770946102, 4952362101, 4952471101, 4890313101, 4952362101]"
29,"[249691, 7727278]",[230644102]
30,"[249901, 7566157]",[2871552102]
31,"[252697, 7481871]","[3170528101, 3170528101, 3170528101, 3170528101, 2470026101]"
32,"[261163, 7483705]","[1691114103, 1691114103, 1691114103, 1691114103, 3130596101, 2361721102, 180527101]"
33,"[265423, 7425976]","[750024102, 4950022101, 1020080102]"
34,"[267331, 7474605]","[3781995101, 3781995101, 3781995101, 4190742101, 3781995101, 3781995101, 5082304101, 3781995101, 3290081101, 2690656101]"
35,"[272336, 7470785]",[750530104]
36,"[272845, 7445036]",[2980540102]
37,"[273536, 7382302]","[4950317103, 4950317103, 4950317102, 4950317102]"
38,"[277103, 7394877]",[2790354101]
39,"[278969, 7481777]","[4370121102, 4370121102, 871636102]"
40,"[281678, 7345889]","[4750056101, 4750056101, 4750056101, 4750056101, 4750024102, 4750024102, 4750024102, 4750037104, 4750037104, 4750024102]"
41,"[281747, 7345652]",[4750025101]
42,"[281799, 7345732]","[4750005102, 4750005102, 4750005101, 4750005101]"
43,"[281810, 7345593]",[4750006101]
44,"[281947, 7346180]",[4750024101]
45,"[282063, 7396798]","[4670013101, 5152044102, 2720040101, 3191063103, 5080065102, 5080065102, 3910350101, 3401360102, 640965101, 640965101, 5061494102, 5110038101, 3910350101]"
46,"[284014, 7348073]","[4750038102, 4750038101]"
47,"[284732, 7349080]",[4750010101]
48,"[286114, 7350705]",[4750006104]
49,"[286537, 7350760]","[4750044101, 4750044101]"
50,"[287069, 7353162]",[4750055105]
51,"[287237, 7346947]","[4750041101, 4750041101, 4750041101, 4750041101]"
52,"[287866, 7380963]","[5110011101, 5110011101]"
53,"[287959, 7348466]",[4750043101]
54,"[288059, 7381049]","[5110004101, 5110004101]"
55,"[288062, 7380894]","[5110020101, 5110020101]"
56,"[288198, 7381165]","[5110017102, 5110017102, 5110017101, 5110017101]"
