,coord,frequentadores
0,"[294146, 7378883]",[5110976102]
1,"[301244, 7388004]",[5130513102]
2,"[302483, 7394765]","[5140042102, 1831153101]"
3,"[302627, 7394867]","[5150037104, 5150037102]"
4,"[305730, 7396588]",[5050047103]
5,"[306707, 7397263]","[5050691103, 5050691101]"
6,"[306713, 7397184]",[4830019101]
7,"[308538, 7398490]","[4830007101, 2640410104]"
8,"[308596, 7399287]",[2811521101]
9,"[308666, 7399282]",[3111318103]
10,"[308946, 7361206]",[4710353102]
11,"[310320, 7398006]","[3840003101, 180961101, 220782101]"
12,"[310594, 7383015]",[5090026102]
13,"[310607, 7378887]",[4750003101]
14,"[310666, 7382933]",[4671102103]
15,"[311438, 7375723]",[4681737103]
16,"[312602, 7397810]",[2700681104]
17,"[312634, 7397889]","[1960331104, 3090005102, 4850816102]"
18,"[313040, 7399943]",[660438101]
19,"[314240, 7399817]",[2201806101]
20,"[314659, 7397368]",[4870884102]
21,"[314902, 7378949]",[4710017104]
22,"[316456, 7379486]",[4710017103]
23,"[316995, 7380838]",[3000531101]
24,"[317420, 7388591]",[3320013101]
25,"[317429, 7407617]","[3290462104, 3290462103]"
26,"[318489, 7384792]","[3070061103, 3070061103]"
27,"[318725, 7396956]","[3720036103, 4920314101, 4970115101, 4970625101, 3140329101, 4650038101]"
28,"[318819, 7396815]",[3150469101]
29,"[318820, 7387593]",[2300310101]
30,"[319124, 7378930]",[3070316101]
31,"[319690, 7382371]","[4650060102, 4681940104, 3090415101, 3110326103, 4750039101, 3090081101, 3150632102, 3130641101, 4650060101, 3130641102, 3090005102, 4651052102, 3140317103, 1280514101, 3140329101, 3140045103, 4650038101, 4651052101, 3153205101, 3140012102]"
32,"[319747, 7382373]","[3070026101, 3080313102, 4740376101, 3090499102, 3090499101, 3150469101, 4680057103]"
33,"[320118, 7390345]",[3351168104]
34,"[320172, 7396578]","[3090499101, 3090499102, 4970764101]"
35,"[320182, 7383636]",[3231577101]
36,"[320295, 7382964]",[4650010101]
37,"[320601, 7383477]","[5140042102, 3090041101, 3250363102, 4630006103, 4640332101]"
38,"[320645, 7383494]","[4610006102, 3150027101]"
39,"[320850, 7410527]","[1191154101, 1191232103]"
40,"[321109, 7414950]",[3450536103]
41,"[321215, 7360836]",[2990030101]
42,"[321809, 7424133]","[2350309103, 3560031101, 3560032101, 3560032102, 3550029101, 3570026101, 3560089101]"
43,"[322430, 7405020]","[3980533101, 1160085102, 1160146102]"
44,"[322642, 7397450]",[1041592107]
45,"[322792, 7405876]",[901088101]
46,"[323142, 7394977]","[4640332101, 4650060101, 3351010101]"
47,"[323150, 7369954]",[2970322102]
48,"[323150, 7384127]",[3050022101]
49,"[323271, 7384175]",[3211216101]
50,"[323519, 7418935]","[3510020101, 3510383101, 3510005101, 3510031101, 3560045101, 3560058103]"
51,"[323764, 7401355]","[1162316101, 1250439102]"
52,"[324079, 7363722]","[2990318101, 2990317102]"
53,"[324267, 7397994]","[1120309102, 1120704102, 2531519101]"
54,"[324499, 7382839]","[2220959102, 3140939101, 2210045101, 4720317102, 4910304103, 2680897102, 3230354101]"
55,"[324689, 7382787]","[3560013104, 1470399102, 850845102, 4720008104, 1441246101, 3190076101]"
56,"[324916, 7412360]",[3580045103]
57,"[325106, 7370462]",[2990011105]
58,"[325300, 7393715]",[3401156104]
59,"[325459, 7383024]","[4710017103, 2270012101, 4710017104, 2270012103]"
60,"[325629, 7392123]","[2980458102, 3910028102, 3410498102, 3990049101, 3510005101, 2230015101, 4311028102, 1950338101, 2230015102, 4721826104, 4380035104]"
61,"[325693, 7392132]","[2030075103, 3290766102, 4681683101, 3560058103, 1880615101, 2290058101, 2292439101, 4000015101, 2680897102, 4910304103, 2290050101, 3770056102, 4220006104, 5110976102, 3330001101, 4231952102, 3190076101]"
62,"[325694, 7392075]",[2851446101]
63,"[325737, 7400361]",[1261058102]
64,"[325998, 7382116]",[3060038101]
65,"[326089, 7398150]","[461468101, 3380326105, 1750022104]"
66,"[326175, 7383522]","[2441419101, 3351010101]"
67,"[326206, 7392748]","[3430484103, 2050075103, 2980426101, 3600019102, 4680057103, 2050037101, 2980010101, 4300509101, 3153205101, 3070004103, 1280514101, 2990317102, 3050491101, 3450536103, 2301294103, 3050022101, 2990011105, 4372946101, 3071286103, 4191310101, 4220087103, 4000105103, 4240967101, 2290315101, 4120051103, 4372946104, 3990800101, 4650060102, 4651052101, 4651052102, 2290108103, 2260022102, 2300003102, 4320335101]"
68,"[326271, 7392754]","[3130641102, 4830019101, 3130641101, 3140012102, 2990318101, 2960032101, 4290735101, 2990030101, 3110326103, 3090081101, 4740376101, 3101169101, 2020004101, 2340446102, 2021222103, 3070761101, 2010044104, 4650010101, 4720008104, 4720317102, 3140317103, 3510383101, 3080313102, 4681940104, 3150632101, 3140939101, 3150632102, 2010373101]"
69,"[326347, 7392752]","[3070026101, 5150037102, 5150037104, 2790016101, 4750058103]"
70,"[326399, 7392647]","[3320013101, 4421407104, 2260775103]"
71,"[326430, 7386643]","[1861288101, 2300032101, 2680148101, 3180956101]"
72,"[326438, 7380465]","[2811521101, 3330001101, 2820914103]"
73,"[326569, 7397888]",[1241468102]
74,"[326596, 7401289]",[1261715103]
75,"[326608, 7377578]",[2970322102]
76,"[326676, 7391954]","[3140045103, 3090415101, 3290462103, 3290462104]"
77,"[326802, 7382562]",[3021216101]
78,"[326893, 7386514]",[2950013102]
79,"[326974, 7373787]","[3250363102, 4730346101, 4721826104, 2960032101]"
80,"[327039, 7373937]","[2980537101, 3150027101, 2951388101, 4630006103, 2980104101, 2980458102, 2970307103]"
81,"[327054, 7392906]",[1221386104]
82,"[327160, 7401592]",[1550017102]
83,"[327161, 7392653]","[2221725102, 2260706102, 2280396101, 1810033104, 3510031101, 2320042101, 3040010102, 3040010101, 3200004101]"
84,"[327282, 7393015]",[2050322101]
85,"[327306, 7385311]",[3231577101]
86,"[327430, 7394953]",[891451101]
87,"[327456, 7394955]",[1010013101]
88,"[327567, 7375461]",[2880305102]
89,"[327967, 7391380]",[3930017104]
90,"[328419, 7356528]",[2980010101]
91,"[328575, 7394603]",[1220021101]
92,"[329491, 7402998]","[1411630103, 4681683101]"
93,"[329722, 7397224]","[4730346101, 1870029102, 3993741101, 3970061101]"
94,"[329861, 7397268]","[3840329103, 1240028103, 4410032101, 3440561101, 2820914103]"
95,"[329863, 7397314]","[2050606102, 3180956101, 4300448101, 4950086104, 4300306103, 3840329101, 4300306101]"
96,"[330070, 7397422]",[3930053101]
97,"[330388, 7394036]","[3060038101, 2290819101, 2290653101]"
98,"[330556, 7393741]","[2570043101, 860991101]"
99,"[330886, 7378761]",[2790016101]
100,"[331016, 7393282]",[3351809102]
101,"[331046, 7396451]",[1160016101]
102,"[331132, 7393207]","[4180568104, 4390042101]"
103,"[331555, 7405025]",[3430484103]
104,"[332355, 7395306]","[2290098101, 2050316102]"
105,"[332545, 7391793]",[4290732103]
106,"[332568, 7392719]",[4310981101]
107,"[332598, 7391854]",[4351848103]
108,"[332604, 7383955]","[4420020103, 4420020102]"
109,"[332633, 7385109]","[1191154101, 2921578101, 3351168104, 4680011101, 2050362102]"
110,"[332652, 7386238]","[2290374102, 2290374104]"
111,"[332662, 7383932]","[3940049101, 2771091101, 5050691101]"
112,"[332666, 7394693]","[4070938104, 2050367102, 2290035101, 2270036103, 2050351102, 2000030205, 750993101]"
113,"[332723, 7394929]","[3250305102, 3930395104]"
114,"[332798, 7383975]","[3930343101, 2260046103]"
115,"[332810, 7395365]",[2980537101]
116,"[332819, 7387066]","[3140993103, 2700681104, 3140993104]"
117,"[332854, 7391187]","[4370143103, 4351885102]"
118,"[332870, 7383835]",[1840019102]
119,"[332927, 7387953]","[2300356101, 2050387101]"
120,"[332947, 7387961]",[4370110102]
121,"[332949, 7389270]","[2280799103, 2280799101, 2290315102, 3560045101]"
122,"[333034, 7389944]",[4580030102]
123,"[333038, 7389857]",[3070005102]
124,"[333056, 7389253]","[3910377101, 3940027101, 4320022101, 1261058102, 3580025102, 3910377105, 4850816102, 3580025104]"
125,"[333077, 7396299]","[2270012103, 1150053101, 3050491101, 5090026102]"
126,"[333095, 7395720]",[3761307104]
127,"[333228, 7390365]",[3510020101]
128,"[333299, 7396118]","[4671102103, 2880305102, 1980493103]"
129,"[333312, 7394624]","[3960009101, 4870884102, 3090041101, 220782101]"
130,"[333577, 7397406]","[3600004101, 4530487102, 3600004102, 1411630103]"
131,"[333646, 7394986]","[1160146102, 1220003101, 5130026101, 3320319101, 3560032101, 3070316101, 4010701101, 2550464103]"
132,"[333690, 7397382]","[3960052105, 3840003101, 3760036101, 3720036103]"
133,"[334057, 7394694]","[2530033104, 4090396102, 2290042102, 1990305101, 200915101]"
134,"[334126, 7399914]","[1450025103, 3590023102, 1870036101, 4100712101, 3960329101]"
135,"[334147, 7379695]",[2340559101]
136,"[334164, 7398366]",[4090022101]
137,"[334189, 7399883]",[3550029101]
138,"[334993, 7395226]","[2000030205, 1870029102]"
139,"[335080, 7394911]","[4500109101, 1240028103, 3021216101]"
140,"[335502, 7388907]","[1162316101, 4373121104]"
141,"[335719, 7401630]",[1470399102]
142,"[335989, 7395091]","[3560032102, 3940308102]"
143,"[336219, 7402380]",[2290079101]
144,"[336274, 7402411]","[4970764101, 1120704102]"
145,"[336286, 7402388]",[2040008101]
146,"[336437, 7388986]","[4950086104, 2570628101, 2050324101]"
147,"[336514, 7388843]","[2050044101, 4380310101, 4420031102, 2441419101, 1870006101, 2470050102, 3910309101, 2550464103, 2300019101]"
148,"[337764, 7395496]","[3961918102, 461468101, 2050075104, 4920314101]"
149,"[337884, 7390022]","[2531519101, 3001137103]"
150,"[337994, 7389783]",[2951388101]
151,"[338026, 7420572]","[3590023102, 3600004102, 3600004101, 3590028103, 3600019102]"
152,"[338099, 7404960]",[1550017102]
153,"[338365, 7378990]","[1010013101, 2340559101, 4580030102]"
154,"[338453, 7390875]","[4020053101, 1191232103, 3960329103]"
155,"[338823, 7411626]",[3580528101]
156,"[338936, 7395657]",[3560013101]
157,"[339151, 7395787]","[4830007101, 1250439102]"
158,"[339829, 7388074]","[4191310101, 2090031103, 4180568104, 2211791102, 2090031102]"
159,"[339862, 7396011]",[4210024101]
160,"[340263, 7395970]","[2050042101, 2990019101]"
161,"[340313, 7396076]","[2090031102, 2090031103, 2640410104, 4970625101, 2350309103]"
162,"[340600, 7391082]","[2570043101, 2570628101]"
163,"[341680, 7377887]","[4503842102, 4503842104]"
164,"[341901, 7401415]",[2200005102]
165,"[341911, 7375954]",[4530487102]
166,"[342530, 7396577]",[1810033104]
167,"[343275, 7384959]",[980040102]
168,"[343788, 7396776]",[3381266101]
169,"[343885, 7396844]",[3940046106]
170,"[344063, 7383384]","[4310010101, 1040115101]"
171,"[344131, 7383438]",[2470050102]
172,"[344168, 7383439]","[4311028102, 4320022101, 4320335101, 4240967101, 4300448101, 4300306103, 4300306101, 4290732103, 4310981101, 1840029101, 4220006104, 4231952102, 2771091101, 4220087103]"
173,"[344275, 7383526]","[4290735101, 4320920101, 1450025103, 3581210105]"
174,"[344385, 7383578]",[3351809102]
175,"[345159, 7397058]","[2211791102, 1750022104]"
176,"[346179, 7393140]",[2651836101]
177,"[346553, 7392289]",[4051247103]
178,"[346719, 7396914]",[1830015101]
179,"[346723, 7390178]",[2651617101]
180,"[348169, 7382851]",[891451101]
181,"[348403, 7395870]",[2201806101]
182,"[348515, 7395856]","[3940311102, 2160038102, 1840029101, 3910309101, 1740551101]"
183,"[348635, 7395968]",[2210045101]
184,"[348639, 7402008]",[200915101]
185,"[349009, 7401277]",[1810462101]
186,"[349354, 7387788]",[2340446102]
187,"[349862, 7395709]","[3070004103, 1950001101]"
188,"[349868, 7395681]","[2260022102, 2030075103, 2050044101, 1960331104, 2221725102, 2220959102, 1831153101]"
189,"[351033, 7381714]","[4351848103, 4380310101, 4351885102, 4370110102, 4373121104]"
190,"[351103, 7381810]","[4390042101, 4370143103, 4380035104]"
191,"[352161, 7395917]",[1950338101]
192,"[352210, 7395767]","[2260706102, 1950028101, 2230015101, 2230003102, 2230015102]"
193,"[352317, 7379135]","[4372946104, 4372946101]"
194,"[352366, 7395750]",[2260619102]
195,"[352448, 7401404]",[2530033104]
196,"[352537, 7401326]",[1990305101]
197,"[352587, 7401453]","[3780317102, 1870036101, 3200004101, 3250305102]"
198,"[352677, 7389905]",[2330045102]
199,"[353703, 7404667]",[2310784101]
200,"[353849, 7395961]",[2260046103]
201,"[353861, 7396076]","[2290050101, 2292439101, 2261139101]"
202,"[353995, 7396213]",[2260775103]
203,"[354896, 7401231]",[2010044104]
204,"[355061, 7401088]",[2050387101]
205,"[355157, 7395878]",[3930017104]
206,"[355408, 7395701]","[2290042102, 2280799103, 2050075103, 2040008101, 2041863102, 2280799101]"
